china,korea
过瘾,[형용사]짜릿하다.끝내주다.신나다.만족하다.
果断,[형용사]과단성[결단력]이있다.
过度,[형용사]과도하다.지나치다.
古怪,[형용사]괴상하다.괴이하다.
广阔,[형용사]넓다.광활하다.
公正,[형용사]공정[공평]하다.공명정대하다.
恭敬,[형용사]공손하다.정중하다.
公道,[형용사]공평하다.공정하다.
高尚,[형용사]도덕적으로고결하다[고매하다].고상하다.품위있다.
高超,[형용사]출중하다.특출나다.
干旱,[형용사]가뭄.가물.
尴尬,[형용사]입장이곤란하다[난처하다].(기색·태도등이)부자연스럽다.어색하다.
分明,[형용사]명확하다.분명하다.[부사]명백히.분명히.
丰盛,[형용사](음식등이)풍성하다.성대하다.
丰满,[형용사]풍만하다.포동포동하다.충분하다.풍족[풍부]하다.(깃털이)자라다.
锋利,[형용사](공구·무기등이)날카롭다.예리하다.(언론·필치등이)날카롭다.예리하다.
肥沃,[형용사]비옥하다.
非法,[형용사]불법적인.비합법적인.
繁忙,[형용사]일이많고바쁘다.
繁华,[형용사](도시·거리가)번화하다.
反常,[형용사]이상하다.정상이아니다.
额外,[형용사]정액외의.정원외의.별도의.그밖의.
对称,[형용사](도형이나물체가)대칭이다.
短促,[형용사](시간이)매우짧다.급박[촉박]하다.
陡峭,[형용사](산세등이)험준하다.가파르다.
大致,[부사]대개.대략.대체로.대강.[형용사]대략적인.대체적인.
大意,[형용사]부주의하다.소홀하다.
胆怯,[형용사]겁내다.겁이많다.
大不了,[형용사]대단하다.굉장하다.(부피·수량등이)크지않다.많지않다.[부사]기껏해야.고작.
粗鲁,[형용사]거칠고우악스럽다.교양이없다.
脆弱,[형용사]연약하다.취약하다.(체질이)약하다.굳세지못하다.나약하다.
慈祥,[형용사]자애롭다.자상하다.
纯粹,[형용사]순수하다.깨끗하다.[부사]순전히.완전히.
垂直,[형용사]수직의.
初步,[형용사]처음단계의.시작단계의.
稠密,[형용사]조밀하다.촘촘하다.
丑恶,[형용사]추악하다.더럽다.
充足,[형용사]충분하다.충족하다.
充沛,[형용사]넘쳐흐르다.충족하다.
崇高,[형용사]숭고하다.고상하다.
迟疑,[형용사]망설이다.머뭇거리다.
持久,[형용사]오래유지되다.지속되다.
迟缓,[형용사]느리다.완만하다.
沉重,[형용사]몹시무겁다.(정도가)심하다.심각하다.(심정이)우울하다.울적하다.
沉闷,[형용사](성격이)명랑하지않다.쾌활하지않다.(마음이)홀가분하지않다.답답하다.(분위기·날씨등이)음울하다.무겁다.(소리가)작다.낮다.
陈旧,[형용사]낡다.오래되다.
诚挚,[형용사]성실하고진실하다.진지하다.
畅销,[형용사]판로가넓다.잘팔리다.
畅通,[형용사]원활하다.막힘없이잘통하다.
昌盛,[형용사]창성하다.흥성하다.
嘈杂,[형용사]떠들썩하다.시끌벅적하다.
草率,[형용사]적당히하다.대강하다.
残忍,[형용사]잔인하다.악랄하다.
灿烂,[형용사]찬란하다.눈부시다.휘황찬란하다.아름답다.
残酷,[형용사]잔혹하다.냉혹하다.참혹하다.혹독하다.
仓促,[형용사]촉박하다.황급하다.
苍白,[형용사]창백하다.파리하다.생기가없다.무기력하다.
不像话,[형용사](언행이)말이안된다.이치에맞지않다.꼴불견이다.꼴같지않다.
不得已,[형용사]어쩔수없이.부득이하다.
薄弱,[형용사]박약하다.취약하다.
别致,[형용사]색다르다.별나다.
别扭,[형용사](말이나글이)어색하다.부자연스럽다.변덕스럽다.괴팍하다.의견이맞지않다.사이가좋지않다.부담스러워하다.불편해하다.
笨拙,[형용사]멍청하다.우둔하다.
被动,[형용사]피동적이다.수동적이다.소극적이다.
悲惨,[형용사]비참하다.슬프다.
卑鄙,[형용사](언행·인품이)비열하다.졸렬하다.비천하다.천하다.
饱和,[형용사](사물의상태가)최고조에달하다.포화상태에이르다.포화.
凹凸,[형용사]울퉁불퉁하다.
安详,[형용사]침착하다.차분하다.
安宁,[형용사](마음이)편하다.안정되다.평온하다.안정되다.
昂贵,[형용사]비싸다.
暧昧,[형용사](의도·태도따위가)애매하다.불확실하다.(행위가)떳떳치못하다.(남녀관계가)그렇고그런사이다.
嘛,[조사]서술문뒤에쓰여당연함을나타냄.문장가운데쓰여휴지(休止)를나타내며상대의주의를이끌어냄.기원문끝에쓰여바람과만류를나타냄.
啦,[조사]‘了(·le)’와‘啊(·a)’의합음사로양자의의미를겸유함.
而已,[조사]…뿐이다.
做主,[동사]주인이되다.책임지고결정하다.
作息,[동사]일하고휴식하다.
作废,[동사]폐기하다.
作弊,[동사]법이나규정을어기다.나쁜짓을하다.
遵循,[동사]따르다.
